timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814743.645,-965.332,-976.074,-175.781,-938.965,0.000
1742814743.649,-967.773,-973.145,-336.914,-951.172,0.000
1742814743.653,-972.656,-973.145,-583.984,-965.332,0.000
1742814743.657,-975.098,-975.586,-571.289,-972.656,0.000
1742814743.661,-970.703,-970.703,-439.941,-965.332,0.000
1742814743.665,-958.496,-964.355,-264.160,-951.660,0.000
1742814743.669,-954.102,-971.680,0.000,-969.727,0.000
1742814743.673,-955.078,-970.215,0.000,-979.004,0.000
1742814743.677,-959.961,-967.773,0.000,-965.332,0.000
1742814743.681,-967.285,-978.027,0.000,-962.402,0.000
1742814743.684,-963.867,-984.863,0.000,-958.984,0.000
1742814743.688,-950.195,-976.562,0.000,-951.660,0.000
1742814743.692,-945.801,-965.820,0.000,-941.895,0.000
1742814743.696,-954.102,-964.355,0.000,-934.570,0.000
1742814743.700,-955.566,-969.238,0.000,-947.754,0.000
1742814743.704,-942.383,-973.633,0.000,-960.938,0.000
1742814743.708,-932.129,-972.656,0.000,-930.664,0.000
1742814743.712,-936.523,-975.098,0.000,-936.035,0.000
1742814743.716,-953.125,-981.445,-622.559,-954.590,0.000
1742814743.720,-965.332,-982.910,-519.531,-952.637,0.000
1742814743.724,-970.215,-979.492,-312.012,-947.754,0.000
1742814743.727,-967.285,-978.516,-287.109,-949.219,0.000
1742814743.731,-969.727,-975.586,-498.535,-958.496,0.000
1742814743.735,-979.004,-966.309,-599.609,-965.820,0.000
1742814743.739,-981.445,-964.844,-519.531,-953.613,0.000
1742814743.743,-977.051,-967.773,-289.551,-941.406,0.000
1742814743.747,-974.121,-974.121,-72.266,-971.191,0.000
1742814743.751,-966.309,-971.680,-372.559,-976.074,0.000
1742814743.755,-975.586,-968.262,-670.898,-963.867,0.000
1742814743.759,-980.469,-968.750,-537.598,-955.078,0.000
1742814743.763,-972.168,-964.844,-323.242,-951.172,0.000
1742814743.766,-961.914,-965.332,-294.434,-954.590,0.000
1742814743.770,-958.008,-958.496,-477.539,-958.008,0.000
1742814743.774,-959.961,-954.102,-622.559,-951.172,0.000
1742814743.778,-960.938,-964.844,-575.684,-951.172,0.000
1742814743.782,-962.891,-971.680,-343.750,-953.125,0.000
1742814743.786,-949.219,-972.656,-197.754,-937.988,0.000
1742814743.790,-948.730,-968.262,-342.285,-969.238,0.000
1742814743.794,-965.820,-962.402,-566.895,-994.629,0.000
1742814743.798,-964.355,-959.961,-601.562,-969.238,0.000
1742814743.802,-954.102,-957.031,-406.738,-953.613,0.000
1742814743.805,-953.613,-958.496,-212.402,-958.008,0.000
1742814743.809,-958.008,-965.820,-369.141,-965.332,0.000
1742814743.813,-965.332,-969.727,-633.789,-951.172,0.000
1742814743.817,-965.332,-972.168,-599.121,-941.406,0.000
1742814743.821,-958.496,-979.980,-428.711,-953.125,0.000
1742814743.825,-954.102,-981.445,-271.973,-959.473,0.000
1742814743.829,-953.125,-976.562,-323.730,-958.008,0.000
1742814743.833,-956.055,-974.121,-545.898,-952.148,0.000
1742814743.837,-968.750,-970.703,-579.590,-984.863,0.000
1742814743.841,-981.934,-970.703,-462.891,-990.723,0.000
1742814743.845,-981.445,-970.215,-314.453,-969.727,0.000
1742814743.848,-971.680,-968.262,-337.402,-968.750,0.000
1742814743.852,-968.262,-970.215,-552.246,-971.680,0.000
1742814743.856,-974.609,-971.680,-647.461,-974.609,0.000
1742814743.860,-977.539,-964.355,-479.492,-956.055,0.000
1742814743.864,-978.516,-967.285,-237.305,-962.891,0.000
1742814743.868,-981.934,-979.492,-299.316,-981.934,0.000
1742814743.872,-982.910,-968.750,-565.918,-980.957,0.000
1742814743.876,-981.445,-962.402,-613.281,-969.727,0.000
1742814743.880,-977.539,-970.215,-441.895,-973.145,0.000
1742814743.884,-961.914,-973.145,-249.512,-986.816,0.000
1742814743.887,-940.918,-965.820,-321.777,-953.613,0.000
1742814743.891,-931.152,-956.055,-525.879,-939.453,0.000
1742814743.895,-940.918,-961.914,-634.766,-943.359,0.000
1742814743.899,-945.312,-959.961,-554.688,-936.035,0.000
1742814743.903,-941.406,-958.496,-365.234,-931.152,0.000
1742814743.907,-942.871,-967.285,-323.242,-938.477,0.000
1742814743.911,-949.219,-969.238,-498.047,-959.961,0.000
1742814743.915,-953.125,-967.285,-652.832,-960.938,0.000
1742814743.919,-947.754,-972.168,-574.219,-930.664,0.000
1742814743.923,-939.453,-975.586,-342.285,-920.410,0.000
1742814743.927,-936.523,-973.633,-185.059,-942.871,0.000
1742814743.930,-942.383,-974.609,-410.156,-945.312,0.000
1742814743.934,-950.195,-975.586,-675.781,-946.777,0.000
1742814743.938,-957.031,-973.633,-591.309,-959.961,0.000
1742814743.942,-963.867,-966.309,-374.023,-962.402,0.000
1742814743.946,-965.332,-965.820,-329.102,-965.332,0.000
1742814743.950,-961.426,-967.285,-480.957,-954.102,0.000
1742814743.954,-951.660,-964.355,-628.906,-953.125,0.000
1742814743.958,-947.754,-964.355,-612.793,-961.914,0.000
1742814743.962,-945.801,-961.914,-447.754,-937.012,0.000
1742814743.966,-933.594,-965.332,-317.383,-917.969,0.000
1742814743.969,-938.477,-976.074,-399.902,-947.266,0.000
1742814743.973,-950.195,-976.074,-596.680,-965.820,0.000
1742814743.977,-960.938,-975.586,-638.184,-957.520,0.000
1742814743.981,-972.656,-980.469,-484.863,-958.984,0.000
1742814743.985,-975.098,-979.492,-263.184,-974.609,0.000
1742814743.989,-974.121,-975.098,-361.816,-977.539,0.000
1742814743.993,-980.957,-973.633,-642.090,-976.562,0.000
1742814743.997,-990.723,-971.680,-664.062,-981.934,0.000
1742814744.001,-983.398,-964.844,-486.328,-965.332,0.000
1742814744.005,-977.051,-969.727,-334.961,-962.402,0.000
1742814744.009,-969.238,-967.773,-403.809,-959.473,0.000
1742814744.012,-959.473,-963.379,-586.914,-950.684,0.000
1742814744.016,-959.961,-961.914,-636.230,-956.055,0.000
1742814744.020,-955.566,-961.914,-498.047,-943.848,0.000
1742814744.024,-944.824,-967.773,-354.980,-931.641,0.000
1742814744.028,-949.219,-970.703,-374.512,-939.941,0.000
