timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814674.327,-687.012,-745.117,-512.207,-724.121,0.000
1742814674.331,-690.430,-748.047,-122.559,-721.680,0.000
1742814674.335,-693.359,-749.512,294.434,-725.098,0.000
1742814674.339,-701.172,-753.906,175.781,-728.516,0.000
1742814674.343,-729.492,-756.836,-389.648,-744.629,0.000
1742814674.347,-740.723,-753.906,-591.797,-743.164,0.000
1742814674.351,-732.910,-744.141,-222.168,-727.051,0.000
1742814674.355,-711.914,-742.188,291.504,-712.891,0.000
1742814674.359,-710.938,-749.512,209.961,-715.332,0.000
1742814674.362,-719.238,-749.023,-381.348,-721.191,0.000
1742814674.366,-719.727,-747.070,-625.488,-734.863,0.000
1742814674.370,-717.773,-751.953,-275.879,-724.609,0.000
1742814674.374,-708.496,-752.930,269.531,-700.684,0.000
1742814674.378,-697.754,-748.535,225.586,-719.727,0.000
1742814674.382,-703.125,-743.652,-375.000,-730.957,0.000
1742814674.386,-711.426,-736.816,-644.531,-724.121,0.000
1742814674.390,-717.285,-732.910,-355.957,-727.539,0.000
1742814674.394,-718.262,-738.281,174.805,-719.238,0.000
1742814674.398,-726.562,-748.535,261.719,-721.680,0.000
1742814674.401,-740.723,-757.812,-188.477,-739.258,0.000
1742814674.405,-749.512,-756.836,-636.230,-751.953,0.000
1742814674.409,-744.141,-750.977,-419.434,-744.141,0.000
1742814674.413,-727.051,-741.211,194.336,-729.980,0.000
1742814674.417,-721.191,-738.281,364.258,-716.797,0.000
1742814674.421,-725.586,-734.863,-171.387,-725.586,0.000
1742814674.425,-723.633,-720.215,-662.598,-731.445,0.000
1742814674.429,-722.656,-718.750,-488.281,-718.262,0.000
1742814674.433,-726.562,-723.633,37.598,-713.379,0.000
1742814674.437,-721.680,-723.633,301.270,-718.750,0.000
1742814674.441,-719.727,-723.633,-69.336,-718.262,0.000
1742814674.444,-729.492,-729.492,-587.891,-728.027,0.000
1742814674.448,-718.262,-727.539,-562.500,-720.703,0.000
1742814674.452,-696.777,-724.609,-80.078,-696.289,0.000
1742814674.456,-691.895,-730.957,287.598,-680.664,0.000
1742814674.460,-699.219,-740.723,-29.297,-687.500,0.000
1742814674.464,-710.449,-747.559,-585.449,-706.543,0.000
1742814674.468,-697.266,-735.840,-645.996,-716.309,0.000
1742814674.472,-680.176,-733.398,-200.684,-690.918,0.000
1742814674.476,-681.641,-743.652,262.207,-673.340,0.000
1742814674.480,-692.871,-745.117,-25.391,-695.312,0.000
1742814674.484,-706.543,-742.676,-605.957,-719.727,0.000
1742814674.487,-712.402,-731.934,-656.250,-717.773,0.000
1742814674.491,-713.867,-733.887,-259.766,-706.055,0.000
1742814674.495,-701.172,-736.328,218.262,-708.496,0.000
1742814674.499,-697.754,-735.840,19.043,-717.773,0.000
1742814674.503,-712.402,-741.211,-551.758,-728.027,0.000
1742814674.507,-713.867,-738.281,-613.770,-717.285,0.000
1742814674.511,-705.078,-733.887,-308.594,-718.262,0.000
1742814674.515,-709.473,-744.141,176.758,-724.609,0.000
1742814674.519,-718.262,-749.512,109.863,-730.469,0.000
1742814674.523,-727.539,-741.699,-516.602,-757.324,0.000
1742814674.526,-736.328,-736.816,-714.844,-765.625,0.000
1742814674.530,-732.910,-733.887,-359.375,-742.188,0.000
1742814674.534,-720.215,-736.328,176.758,-734.375,0.000
1742814674.538,-711.426,-739.258,127.441,-733.887,0.000
1742814674.542,-713.379,-734.375,-491.699,-727.539,0.000
1742814674.546,-715.332,-737.793,-727.051,-740.723,0.000
1742814674.550,-720.215,-749.023,-328.613,-732.422,0.000
1742814674.554,-719.727,-753.906,192.383,-718.262,0.000
1742814674.558,-706.055,-744.629,160.645,-718.262,0.000
1742814674.562,-711.914,-738.770,-421.387,-729.492,0.000
1742814674.566,-723.633,-734.375,-688.965,-731.445,0.000
1742814674.569,-719.238,-731.445,-485.352,-726.562,0.000
1742814674.573,-707.031,-735.352,7.324,-715.820,0.000
1742814674.577,-703.613,-739.746,189.941,-713.379,0.000
1742814674.581,-708.984,-739.746,-287.598,-719.727,0.000
1742814674.585,-710.938,-738.770,-686.035,-729.492,0.000
1742814674.589,-702.637,-734.863,-582.520,-720.703,0.000
1742814674.593,-701.172,-742.676,-70.312,-697.266,0.000
1742814674.597,-703.613,-746.094,264.160,-688.477,0.000
1742814674.601,-697.754,-734.863,-211.914,-708.984,0.000
1742814674.605,-700.195,-727.539,-708.984,-724.121,0.000
1742814674.608,-696.289,-730.957,-587.891,-709.961,0.000
1742814674.612,-696.777,-745.605,-24.902,-690.430,0.000
1742814674.616,-698.730,-750.488,230.957,-698.242,0.000
1742814674.620,-699.219,-745.605,-226.074,-717.285,0.000
1742814674.624,-707.520,-741.211,-637.207,-721.191,0.000
1742814674.628,-708.984,-736.328,-601.562,-714.844,0.000
1742814674.632,-700.684,-734.863,-233.887,-716.797,0.000
1742814674.636,-695.312,-733.887,199.707,-710.938,0.000
1742814674.640,-698.242,-729.004,-63.965,-715.332,0.000
1742814674.644,-706.543,-722.168,-607.422,-729.004,0.000
1742814674.648,-715.332,-726.562,-655.762,-734.863,0.000
1742814674.651,-710.449,-730.469,-310.059,-719.238,0.000
1742814674.655,-704.590,-733.398,201.172,-698.730,0.000
1742814674.659,-704.102,-739.746,-12.207,-697.754,0.000
1742814674.663,-706.543,-743.164,-608.887,-714.844,0.000
1742814674.667,-711.426,-747.559,-689.453,-714.844,0.000
1742814674.671,0.000,-751.953,-312.500,-698.730,0.000
1742814674.675,0.000,-749.023,184.570,-703.125,0.000
1742814674.679,0.000,-752.930,17.090,-712.402,0.000
1742814674.683,0.000,-749.512,-562.012,-707.520,0.000
1742814674.687,0.000,-743.164,-701.172,-713.867,0.000
1742814674.691,0.000,-755.371,-370.605,-729.980,0.000
1742814674.694,0.000,-763.672,171.387,-722.168,0.000
1742814674.698,0.000,-759.277,125.977,-715.332,0.000
1742814674.702,0.000,-760.742,-436.035,-720.703,0.000
1742814674.706,0.000,-751.953,-709.473,-737.793,0.000
