timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813841.989,-70.312,-29.297,-260.742,-13.672,0.000
1742813841.993,-48.828,-21.973,-251.953,-9.766,0.000
1742813841.996,-42.480,-20.996,-263.672,-20.508,0.000
1742813842.000,-53.223,-21.973,-245.605,-38.086,0.000
1742813842.004,-61.523,-20.020,-213.867,-49.316,0.000
1742813842.008,-56.152,-21.973,-181.152,-50.293,0.000
1742813842.012,-49.316,-23.926,-143.555,-57.129,0.000
1742813842.016,-40.039,-20.996,-119.629,-69.824,0.000
1742813842.020,-43.457,-17.578,-107.422,-87.402,0.000
1742813842.024,-70.312,-19.043,-104.004,-107.422,0.000
1742813842.028,-73.730,-21.484,-119.629,-96.191,0.000
1742813842.032,-62.500,-18.555,-114.746,-90.820,0.000
1742813842.036,-68.848,-19.043,-90.820,-97.168,0.000
1742813842.039,-75.195,-29.297,-62.012,-95.703,0.000
1742813842.043,-76.172,-32.227,-34.180,-108.398,0.000
1742813842.047,-73.242,-29.297,-17.578,-115.234,0.000
1742813842.051,-67.871,-33.203,-13.672,-102.051,0.000
1742813842.055,-61.035,-27.344,-36.621,-90.332,0.000
1742813842.059,-60.059,-23.438,-71.289,-106.934,0.000
1742813842.063,-66.895,-23.438,-86.426,-100.586,0.000
1742813842.067,-63.477,-20.508,-87.402,-99.609,0.000
1742813842.071,-57.129,-26.855,-101.074,-94.238,0.000
1742813842.075,-40.527,-26.367,-123.047,-72.266,0.000
1742813842.079,-32.715,-19.531,-130.859,-81.055,0.000
1742813842.082,-45.898,-19.531,-132.812,-92.773,0.000
1742813842.086,-56.152,-22.461,-149.414,-90.332,0.000
1742813842.090,-51.758,-19.531,-146.973,-74.219,0.000
1742813842.094,-39.062,-17.090,-139.648,-50.781,0.000
1742813842.098,-39.551,-20.020,-151.855,-51.270,0.000
1742813842.102,-37.109,-23.438,-182.617,-74.219,0.000
1742813842.106,-34.180,-26.367,-208.008,-57.617,0.000
1742813842.110,-33.691,-27.344,-215.332,-47.363,0.000
1742813842.114,-9.766,-24.902,-220.215,-35.645,0.000
1742813842.118,-1.465,-21.484,-254.395,-35.645,0.000
1742813842.121,-12.207,-22.461,-256.836,-31.738,0.000
1742813842.125,-14.648,-20.996,-216.309,-8.789,0.000
1742813842.129,-2.441,-19.043,-204.590,-5.859,0.000
1742813842.133,-9.277,-29.297,-232.422,-20.508,0.000
1742813842.137,-6.348,-33.691,-253.418,-31.250,0.000
1742813842.141,7.324,-35.156,-247.559,-19.531,0.000
1742813842.145,-12.695,-36.133,-256.836,-6.836,0.000
1742813842.149,-25.879,-29.785,-262.207,16.602,0.000
1742813842.153,-16.602,-27.832,-264.648,10.742,0.000
1742813842.157,-9.277,-25.879,-293.945,0.488,0.000
1742813842.161,-18.066,-29.785,-293.945,-11.719,0.000
1742813842.164,-22.949,-31.250,-275.391,-24.902,0.000
1742813842.168,-11.719,-28.320,-274.902,5.371,0.000
1742813842.172,0.488,-28.809,-280.273,20.996,0.000
1742813842.176,4.883,-29.785,-291.504,13.672,0.000
1742813842.180,2.930,-28.320,-303.223,6.348,0.000
1742813842.184,-8.789,-22.949,-318.359,3.906,0.000
1742813842.188,-13.672,-22.461,-351.562,18.555,0.000
1742813842.192,-7.812,-20.508,-361.328,15.625,0.000
1742813842.196,-6.836,-17.090,-334.473,2.441,0.000
1742813842.200,-18.555,-18.555,-332.520,0.000,0.000
1742813842.204,-15.137,-19.043,-363.770,-10.742,0.000
1742813842.208,-12.695,-23.438,-375.488,2.441,0.000
1742813842.211,-14.648,-26.367,-382.812,17.090,0.000
1742813842.215,-3.418,-27.344,-380.859,18.066,0.000
1742813842.219,1.953,-22.949,-359.863,15.625,0.000
1742813842.223,-16.602,-10.254,-363.281,5.859,0.000
1742813842.227,-35.645,-15.625,-383.789,6.836,0.000
1742813842.231,-26.855,-22.461,-406.250,-13.672,0.000
1742813842.235,-20.508,-23.438,-401.367,-36.133,0.000
1742813842.239,-26.367,-27.832,-377.441,-14.160,0.000
1742813842.243,-29.785,-29.297,-353.516,-15.625,0.000
1742813842.247,-36.133,-27.344,-346.191,-31.250,0.000
1742813842.251,-33.203,-22.461,-358.887,-32.715,0.000
1742813842.254,-27.344,-24.414,-383.789,-38.574,0.000
1742813842.258,-40.039,-26.855,-415.039,-64.941,0.000
1742813842.262,-61.523,-25.391,-446.777,-80.078,0.000
1742813842.266,-83.496,-31.738,-472.168,-80.566,0.000
1742813842.270,-88.379,-37.109,-492.188,-89.355,0.000
1742813842.274,-74.707,-37.598,-486.816,-100.586,0.000
