timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813712.104,-23.438,-12.207,-68.359,-42.480,0.000
1742813712.108,-30.273,-20.020,-65.430,-51.758,0.000
1742813712.112,-29.785,-20.508,-59.082,-55.176,0.000
1742813712.116,-36.621,-23.438,-57.129,-49.805,0.000
1742813712.120,-42.969,-31.738,-60.059,-39.551,0.000
1742813712.124,-55.176,-33.691,-60.547,-32.715,0.000
1742813712.128,-58.105,-32.227,-62.988,-44.434,0.000
1742813712.132,-46.387,-32.227,-58.105,-40.039,0.000
1742813712.135,-36.621,-29.785,-47.852,-19.043,0.000
1742813712.139,-36.621,-30.273,-50.781,-18.555,0.000
1742813712.143,-41.016,-32.227,-58.594,-26.855,0.000
1742813712.147,-42.969,-34.180,-63.965,-28.809,0.000
1742813712.151,-36.133,-30.762,-61.523,-30.273,0.000
1742813712.155,-31.250,-22.461,-66.895,-27.344,0.000
1742813712.159,-27.344,-18.066,-65.430,-10.254,0.000
1742813712.163,-22.461,-12.207,-63.965,-12.207,0.000
1742813712.167,-22.949,-6.836,-75.684,-19.531,0.000
1742813712.171,-5.859,-3.906,-78.613,-13.672,0.000
1742813712.175,20.996,3.418,-69.824,0.488,0.000
1742813712.178,22.461,3.418,-70.801,-6.348,0.000
1742813712.182,7.324,2.930,-71.777,-31.250,0.000
1742813712.186,3.418,4.883,-73.242,-58.594,0.000
1742813712.190,-3.906,-1.953,-75.684,-72.266,0.000
1742813712.194,-8.789,-6.348,-68.359,-67.383,0.000
1742813712.198,-8.789,-10.254,-64.941,-62.988,0.000
1742813712.202,-12.207,-8.789,-64.453,-54.688,0.000
1742813712.206,-22.461,-8.789,-58.105,-49.805,0.000
1742813712.210,-23.926,-12.207,-47.363,-34.668,0.000
1742813712.214,-20.020,-16.113,-49.805,-14.648,0.000
1742813712.218,-31.250,-25.879,-57.129,-5.371,0.000
1742813712.221,-41.504,-30.273,-54.688,-11.719,0.000
1742813712.225,-45.410,-28.809,-45.898,-18.555,0.000
1742813712.229,-54.199,-33.203,-50.781,-24.902,0.000
1742813712.233,-60.547,-38.086,-64.453,-22.461,0.000
1742813712.237,-62.988,-44.434,-68.848,-20.508,0.000
1742813712.241,-70.312,-47.363,-72.754,-28.809,0.000
1742813712.245,-67.383,-41.016,-76.660,-28.320,0.000
1742813712.249,-56.641,-41.504,-80.566,-26.855,0.000
1742813712.253,-41.504,-46.387,-84.961,-18.555,0.000
1742813712.257,-20.996,-41.992,-83.496,-3.418,0.000
1742813712.260,-10.254,-40.527,-87.891,-5.859,0.000
1742813712.264,-13.672,-41.016,-105.469,-32.227,0.000
1742813712.268,-7.324,-33.691,-102.539,-40.039,0.000
1742813712.272,0.488,-33.691,-92.285,-27.344,0.000
1742813712.276,0.488,-35.156,-90.332,-22.949,0.000
1742813712.280,2.930,-28.320,-87.402,-15.137,0.000
1742813712.284,-3.906,-26.855,-79.590,-26.855,0.000
1742813712.288,-18.555,-37.598,-84.961,-52.246,0.000
1742813712.292,-30.273,-41.016,-89.355,-49.805,0.000
1742813712.296,-28.809,-41.504,-82.520,-43.945,0.000
1742813712.300,-29.297,-37.598,-79.102,-56.152,0.000
1742813712.303,-39.551,-31.738,-81.055,-61.523,0.000
1742813712.307,-43.945,-31.738,-85.938,-69.824,0.000
1742813712.311,-48.828,-31.250,-84.961,-72.754,0.000
1742813712.315,-55.176,-33.203,-73.242,-56.152,0.000
1742813712.319,-57.129,-34.180,-70.312,-56.152,0.000
1742813712.323,-68.359,-35.156,-82.031,-64.453,0.000
1742813712.327,-77.148,-34.180,-81.543,-67.871,0.000
1742813712.331,-71.289,-36.133,-86.426,-63.965,0.000
1742813712.335,-62.500,-41.504,-94.238,-47.852,0.000
1742813712.339,-57.617,-43.457,-90.820,-49.316,0.000
1742813712.343,-53.711,-44.434,-89.355,-54.199,0.000
1742813712.346,-48.340,-41.992,-88.867,-56.152,0.000
1742813712.350,-48.340,-43.945,-90.820,-37.598,0.000
1742813712.354,-45.898,-42.969,-86.426,-21.973,0.000
1742813712.358,-35.645,-35.645,-82.520,-17.578,0.000
1742813712.362,-34.668,-35.645,-90.820,-19.531,0.000
1742813712.366,-40.527,-38.086,-100.098,-29.785,0.000
1742813712.370,-43.945,-36.621,-97.656,-37.109,0.000
1742813712.374,-38.574,-32.715,-84.961,-30.762,0.000
1742813712.378,-28.320,-30.273,-77.637,-23.438,0.000
1742813712.382,-21.484,-29.785,-84.961,-25.391,0.000
1742813712.385,-28.320,-38.086,-90.332,-29.297,0.000
1742813712.389,-41.016,-44.922,-87.402,-41.016,0.000
1742813712.393,-40.527,-39.062,-84.473,-33.691,0.000
1742813712.397,-36.621,-40.039,-83.984,-18.555,0.000
1742813712.401,-31.250,-40.527,-85.449,-29.297,0.000
1742813712.405,-28.809,-30.273,-82.031,-30.762,0.000
1742813712.409,-31.250,-24.902,-79.590,-30.273,0.000
1742813712.413,-27.832,-29.297,-83.008,-26.855,0.000
1742813712.417,-22.461,-35.156,-79.102,-12.695,0.000
1742813712.421,-25.879,-33.691,-70.312,-19.043,0.000
1742813712.425,-31.738,-29.297,-81.543,-36.133,0.000
1742813712.428,-31.738,-26.367,-83.984,-38.086,0.000
1742813712.432,-32.715,-28.320,-79.102,-29.297,0.000
1742813712.436,-35.645,-32.715,-83.008,-27.344,0.000
1742813712.440,-33.203,-36.621,-84.473,-32.227,0.000
1742813712.444,-34.668,-38.574,-85.449,-39.551,0.000
1742813712.448,-31.738,-35.645,-83.984,-41.992,0.000
1742813712.452,-26.367,-39.062,-82.031,-47.363,0.000
1742813712.456,-17.578,-41.016,-85.449,-43.457,0.000
1742813712.460,-10.742,-37.109,-88.867,-33.691,0.000
1742813712.464,-16.113,-30.762,-82.031,-32.715,0.000
1742813712.467,-30.273,-31.738,-80.078,-40.039,0.000
1742813712.471,-48.828,-38.574,-85.938,-45.898,0.000
1742813712.475,-54.199,-38.574,-82.031,-25.391,0.000
1742813712.479,-52.734,-34.180,-80.566,-25.879,0.000
1742813712.483,-52.734,-37.598,-80.566,-43.457,0.000
