timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813898.780,-35.156,-2.930,194.336,11.230,0.000
1742813898.784,-33.203,-13.672,250.488,-47.363,0.000
1742813898.788,-10.742,-4.395,264.648,-42.969,0.000
1742813898.792,-22.461,-12.207,277.344,20.508,0.000
1742813898.796,-54.688,-24.902,274.414,-24.902,0.000
1742813898.799,-42.969,-18.555,280.273,-13.672,0.000
1742813898.803,-23.438,-14.160,335.938,-7.324,0.000
1742813898.807,-17.578,-14.160,420.410,29.297,0.000
1742813898.811,-48.828,-21.973,477.539,-81.543,0.000
1742813898.815,-54.688,-22.949,539.062,-65.918,0.000
1742813898.819,-24.902,-13.184,576.660,41.016,0.000
1742813898.823,-7.324,-14.648,566.406,27.832,0.000
1742813898.827,-8.789,-23.438,580.078,26.367,0.000
1742813898.831,-24.414,-27.832,606.445,-5.371,0.000
1742813898.835,-23.438,-18.066,591.797,-37.109,0.000
1742813898.839,-20.996,-17.578,582.031,29.297,0.000
1742813898.842,-26.855,-31.738,615.723,63.965,0.000
1742813898.846,-28.320,-36.133,666.992,-18.555,0.000
1742813898.850,-20.020,-32.227,669.922,-129.883,0.000
1742813898.854,-22.461,-32.715,654.785,-24.414,0.000
1742813898.858,-7.812,-25.879,641.602,10.742,0.000
1742813898.862,16.602,-20.996,636.230,22.461,0.000
1742813898.866,21.973,-23.438,604.004,35.645,0.000
1742813898.870,5.859,-20.508,538.086,-43.457,0.000
1742813898.874,7.324,-11.230,542.969,26.855,0.000
1742813898.877,16.113,-9.766,552.734,67.383,0.000
1742813898.881,7.812,-13.672,530.762,-5.859,0.000
1742813898.885,-15.625,-27.832,526.855,-85.449,0.000
1742813898.889,-28.809,-33.691,540.527,50.293,0.000
1742813898.893,-16.602,-28.809,541.016,60.059,0.000
1742813898.897,-19.531,-29.785,529.785,-39.551,0.000
1742813898.901,-19.531,-16.602,502.441,-29.297,0.000
1742813898.905,-9.766,-18.066,500.488,5.371,0.000
1742813898.909,4.883,-15.625,492.676,-32.715,0.000
1742813898.913,-14.648,-14.160,506.836,20.020,0.000
1742813898.917,-36.621,-22.461,497.559,15.137,0.000
1742813898.920,-43.945,-14.160,471.680,-3.418,0.000
1742813898.924,-37.598,-17.578,471.680,55.176,0.000
1742813898.928,-33.691,-18.555,448.242,-31.250,0.000
1742813898.932,-33.203,-8.789,432.129,-96.680,0.000
1742813898.936,-49.805,-19.531,444.824,-20.508,0.000
1742813898.940,-63.965,-30.273,410.645,-108.398,0.000
1742813898.944,-64.453,-28.320,383.301,-98.633,0.000
1742813898.948,-88.867,-42.480,380.371,-46.387,0.000
1742813898.952,-62.500,-27.832,313.965,-49.316,0.000
1742813898.956,-55.664,-16.602,266.602,-52.734,0.000
1742813898.960,-65.918,-37.598,274.414,4.395,0.000
1742813898.963,-48.828,-34.668,230.957,-19.043,0.000
1742813898.967,-29.297,-14.160,165.527,-104.980,0.000
1742813898.971,-52.734,-25.391,181.641,70.801,0.000
1742813898.975,-58.105,-36.133,178.223,80.078,0.000
1742813898.979,-39.551,-21.973,117.676,-118.164,0.000
1742813898.983,-44.434,-22.949,92.285,-58.105,0.000
1742813898.987,-51.270,-28.809,79.102,6.348,0.000
1742813898.991,-25.879,-22.461,29.785,36.133,0.000
1742813898.995,-32.715,-20.020,7.812,43.945,0.000
1742813898.999,-61.523,-24.414,-29.297,-59.570,0.000
1742813899.002,-58.105,-27.344,-80.566,-147.949,0.000
1742813899.006,-37.109,-18.066,-118.652,-41.504,0.000
1742813899.010,-83.984,-28.320,-157.715,-150.391,0.000
1742813899.014,-108.398,-35.156,-238.770,-308.594,0.000
1742813899.018,-46.387,-2.930,-307.617,7.812,0.000
1742813899.022,-38.574,-20.020,-303.223,44.922,0.000
1742813899.026,-39.062,-26.367,-337.891,-81.543,0.000
1742813899.030,-34.668,-27.832,-358.887,-9.766,0.000
1742813899.034,-35.645,-19.531,-382.324,40.039,0.000
1742813899.038,-28.809,-16.602,-399.902,0.977,0.000
1742813899.042,-8.789,-13.672,-407.227,-51.270,0.000
1742813899.045,-24.902,-20.996,-418.945,-28.809,0.000
1742813899.049,-45.410,-28.809,-416.504,-16.602,0.000
1742813899.053,-50.293,-26.855,-363.770,-54.688,0.000
1742813899.057,-51.758,-36.621,-328.125,-52.734,0.000
1742813899.061,-29.785,-29.785,-335.938,-35.645,0.000
1742813899.065,-26.367,-31.250,-327.637,-64.453,0.000
1742813899.069,-17.090,-17.578,-318.359,-20.020,0.000
1742813899.073,-13.672,-19.043,-284.180,-5.859,0.000
1742813899.077,-15.137,-23.438,-279.785,-63.477,0.000
1742813899.081,5.859,-2.930,-313.477,-25.391,0.000
1742813899.084,19.531,-14.160,-257.324,10.742,0.000
1742813899.088,21.973,-26.367,-211.914,35.156,0.000
