timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813782.941,-18.555,-23.438,-136.719,-55.176,0.000
1742813782.944,-29.297,-22.461,-140.625,-41.504,0.000
1742813782.948,-41.016,-23.438,-131.348,-52.246,0.000
1742813782.952,-60.547,-23.438,-129.883,-50.293,0.000
1742813782.956,-59.082,-22.461,-131.348,-25.879,0.000
1742813782.960,-43.457,-23.926,-123.047,-25.879,0.000
1742813782.964,-41.016,-30.762,-120.605,-35.156,0.000
1742813782.968,-59.082,-34.180,-129.395,-55.176,0.000
1742813782.972,-72.754,-32.715,-129.395,-56.641,0.000
1742813782.976,-64.453,-30.273,-130.371,-50.293,0.000
1742813782.980,-51.758,-27.344,-136.230,-55.176,0.000
1742813782.984,-38.574,-26.367,-135.254,-56.152,0.000
1742813782.987,-40.527,-23.438,-138.184,-42.969,0.000
1742813782.991,-49.316,-23.926,-144.531,-23.438,0.000
1742813782.995,-52.246,-30.273,-140.137,-25.391,0.000
1742813782.999,-38.086,-29.297,-137.207,-37.109,0.000
1742813783.003,-28.809,-28.809,-136.230,-37.109,0.000
1742813783.007,-33.691,-30.273,-130.371,-46.387,0.000
1742813783.011,-37.598,-31.738,-134.277,-44.434,0.000
1742813783.015,-32.227,-32.227,-145.020,-24.414,0.000
1742813783.019,-24.902,-28.809,-146.973,-46.387,0.000
1742813783.023,-36.133,-31.250,-145.508,-77.148,0.000
1742813783.026,-49.316,-35.645,-144.531,-69.824,0.000
1742813783.030,-55.664,-39.551,-145.996,-65.430,0.000
1742813783.034,-62.988,-41.016,-142.578,-47.852,0.000
1742813783.038,-60.059,-39.551,-134.277,-36.133,0.000
1742813783.042,-49.805,-34.180,-134.277,-47.363,0.000
1742813783.046,-47.363,-28.809,-132.812,-18.066,0.000
1742813783.050,-51.758,-28.320,-128.418,-12.207,0.000
1742813783.054,-54.688,-29.297,-131.836,-39.062,0.000
1742813783.058,-47.852,-29.297,-131.836,-36.133,0.000
1742813783.062,-36.133,-27.344,-130.859,-44.434,0.000
1742813783.066,-31.738,-33.203,-140.625,-73.730,0.000
1742813783.069,-36.133,-32.227,-146.484,-70.312,0.000
1742813783.073,-42.969,-31.250,-145.996,-39.551,0.000
1742813783.077,-46.387,-34.668,-145.020,-31.738,0.000
1742813783.081,-33.691,-29.785,-138.184,-15.625,0.000
1742813783.085,-21.484,-30.273,-132.812,-15.137,0.000
1742813783.089,-30.273,-33.691,-136.230,-27.344,0.000
1742813783.093,-30.762,-31.738,-139.160,-10.742,0.000
1742813783.097,-18.555,-27.832,-133.789,-0.977,0.000
1742813783.101,-18.555,-31.250,-132.324,-23.438,0.000
1742813783.105,-22.949,-32.715,-136.230,-31.738,0.000
1742813783.109,-17.578,-26.367,-135.742,-42.480,0.000
1742813783.112,-16.113,-25.391,-137.695,-52.734,0.000
1742813783.116,-5.371,-25.879,-139.648,-17.578,0.000
1742813783.120,0.977,-22.949,-141.602,0.000,0.000
1742813783.124,-13.184,-20.508,-145.020,-31.738,0.000
1742813783.128,-22.949,-24.414,-147.949,-55.664,0.000
1742813783.132,-30.273,-30.762,-146.973,-34.180,0.000
1742813783.136,-21.484,-24.902,-140.137,-11.719,0.000
1742813783.140,-12.207,-22.461,-135.254,7.324,0.000
